creationDate,fuelType,mainProvince,make,model,price,km,title,url,seller_name,seller_isProfessional,first_seen,last_seen
2026-02-09T13:50:35Z,Diésel,Barcelona,LAND-ROVER,Range Rover Sport,24990,143000,LAND-ROVER Range Rover Sport 2.0 SD4 S,https://www.coches.net/land-rover-range-rover-sport-20-sd4-176kw-240cv-s-5p-diesel-2017-en-barcelona-62600770-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:50:34Z,Diésel,Barcelona,LAND-ROVER,Range Rover Sport,26490,138000,LAND-ROVER Range Rover Sport 3.0 TDV6 HSE,https://www.coches.net/land-rover-range-rover-sport-30-tdv6-258cv-hse-5p-diesel-2016-en-barcelona-62600769-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:52:14Z,Gasolina,Barcelona,MERCEDES-BENZ,Clase A,21990,111000,MERCEDES-BENZ Clase A A 180,https://www.coches.net/mercedes-benz-clase-a-a-180-5p-gasolina-2018-en-barcelona-62600788-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-11T11:28:49Z,Diésel,Barcelona,MERCEDES-BENZ,Clase B,12990,106000,MERCEDES-BENZ Clase B B 180 CDI,https://www.coches.net/mercedes-benz-clase-b-b-180-cdi-5p-diesel-2014-en-barcelona-62618033-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T13:56:25Z,Diésel,Barcelona,NISSAN,QASHQAI,16990,98000,NISSAN QASHQAI 1.6dCi TEKNA 4x2 XTRONIC Piel,https://www.coches.net/nissan-qashqai-16dci-tekna-4x2-xtronic-piel-5p-diesel-2015-en-barcelona-62600822-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T14:00:06Z,Gasolina,Barcelona,NISSAN,X-TRAIL,17790,126000,NISSAN X-TRAIL 5 Pl. DIGT 163 CV NCONNECTA,https://www.coches.net/nissan-x-trail-5-pl-digt-120-kw-163-cv-nconnecta-5p-gasolina-2017-en-barcelona-62600863-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T14:06:18Z,Gasolina,Barcelona,SUZUKI,Vitara,16990,98000,SUZUKI Vitara 1.0 T GLE 4WD 6AT,https://www.coches.net/suzuki-vitara-10-t-gle-4wd-6at-5p-gasolina-2018-en-barcelona-62600922-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T14:13:01Z,Diésel,Barcelona,VOLKSWAGEN,Touran,10690,132000,VOLKSWAGEN Touran 1.6 TDI DSG Advance Bmotion Tech,https://www.coches.net/volkswagen-touran-16-tdi-105cv-dsg-advance-bmotion-tech-5p-diesel-2013-en-barcelona-62600960-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-09T14:13:00Z,Diésel,Barcelona,VOLKSWAGEN,Polo,9390,149000,VOLKSWAGEN Polo Edition 1.4 TDI BMT,https://www.coches.net/volkswagen-polo-edition-14-tdi-75cv-bmt-5p-diesel-2017-en-barcelona-62600959-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-11T17:50:22Z,Diésel,Barcelona,LAND-ROVER,Discovery Sport,11990,179000,LAND-ROVER Discovery Sport 2.0L TD4 4x4 HSE,https://www.coches.net/land-rover-discovery-sport-20l-td4-110kw-150cv-4x4-hse-5p-diesel-2018-en-barcelona-62622065-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-19T13:44:54Z,Diésel,Barcelona,FORD,Fiesta,4988,155000,FORD Fiesta 1.4 TDCi Ambiente,https://www.coches.net/ford-fiesta-14-tdci-ambiente-3p-diesel-2009-en-barcelona-70012820-covo.aspx,MundiCars,True,2026-02-23,2026-02-23
2026-02-04T10:06:09Z,Híbrido,Barcelona,FORD,Puma,19800,31251,FORD Puma 1.0 EcoBoost STLine X MHEV,https://www.coches.net/ford-puma-10-ecoboost-155cv-stline-x-mhev-5p-electrico-hibrido-2023-en-barcelona-62560430-covo.aspx,Comercial Vila Vila,True,2026-02-23,2026-02-23
2026-02-11T19:57:46Z,Híbrido,Barcelona,FORD,Kuga,23700,31624,FORD Kuga Titanium 2.5 Duratec FHEV Auto,https://www.coches.net/ford-kuga-titanium-25-duratec-fhev-140kw-auto-5p-electrico-hibrido-2023-en-barcelona-62623602-covo.aspx,Comercial Vila Vila,True,2026-02-23,2026-02-23
2026-01-22T08:11:13Z,Híbrido,Zamora,KIA,Sportage,25900,35000,KIA Sportage 1.6 CRDi MHEV Tech 4x2 DCT,https://www.coches.net/kia-sportage-16-crdi-mhev-100kw-136cv-tech-4x2-dct-5p-electrico-hibrido-2023-en-zamora-62463016-covo.aspx,Autos Z1,True,2026-02-23,2026-02-23
2026-01-31T09:58:08Z,Híbrido,Zamora,BMW,Serie 3,27900,75000,BMW Serie 3 318d Auto.,https://www.coches.net/bmw-serie-3-318d-auto-4p-electrico-hibrido-2022-en-zamora-62530850-covo.aspx,Autos Z1,True,2026-02-23,2026-02-23
2026-01-31T18:14:10Z,Diésel,Zamora,MERCEDES-BENZ,Clase CLA,15900,285000,MERCEDES-BENZ Clase CLA CLA 200 d,https://www.coches.net/mercedes-benz-clase-cla-cla-200-d-4p-diesel-2018-en-zamora-62534024-covo.aspx,Autos Z1,True,2026-02-23,2026-02-23
